Attributes,HeLa.S3.WT.00_h.R1,HeLa.S3.WT.00_h.R2,HeLa.S3.WT.00_h.R3,HeLa.S3.WT.02_h.R1,HeLa.S3.WT.02_h.R2,HeLa.S3.WT.02_h.R3,HeLa.S3.WT.04_h.R1,HeLa.S3.WT.04_h.R2,HeLa.S3.WT.04_h.R3,HeLa.S3.WT.08_h.R1,HeLa.S3.WT.08_h.R2,HeLa.S3.WT.08_h.R3,HeLa.S3.WT.16_h.R1,HeLa.S3.WT.16_h.R2,HeLa.S3.WT.16_h.R3,HeLa.S3.WT.24_h.R1,HeLa.S3.WT.24_h.R2,HeLa.S3.WT.24_h.R3
E1W703,14,12,14.5,175,190.5,162.5,238,465,135.5,313.5,523,561,534.5,663.5,678.5,746.5,820.5,861
E1W704,256.5,327.5,341.5,43,42.5,13,70,114.5,30.5,134.5,190,71,189,230.5,176,532,584,516.5
E1W705,67,82.5,67,5,4.5,3.5,8.5,11,4,6,12,13,24,24.5,36.5,122.5,137,195.5
E1W706,42.5,42,67,8.5,11.5,6.5,11,43,7,14.5,42.5,15.5,44.5,58.5,42,127,166.5,185.5
E1W707,3.5,4,6.5,0,0,0,1,1.5,0.5,0.5,2.5,0.5,4,2,2,9.5,12.5,13.5
E1W708,43,45,62.5,5,4.5,0,12,16.5,6.5,14,18,12.5,27.5,32,23.5,73,81,98
E1W709,28,28.5,34,3,6,3.5,8,12.5,8,9,18.5,7,19.5,24.5,18,44.5,47.5,54.5
E1W710,9,16,22,3.5,6,1.5,3,15,3.5,9,23.5,10.5,28,21.5,14.5,67,79,49.5
E1W711,93,117.5,78,7,13.5,2,24.5,44,4,4.5,20.5,14,52.5,68.5,59.5,269.5,301,352.5
E1W712,1310.5,1748,2300.5,214,275.5,83,324,576,151.5,322,645.5,364.5,1285,1569,1235,5806,6506,6725.5
E1W713,55.5,64.5,49,18,13.5,7,13,24,6.5,11,20.5,11,45,51.5,57,251,282,345.5
E1W714,5.5,8,4,0,3.5,0.5,3,2.5,1,0.5,2.5,3,10.5,8.5,14.5,72.5,83.5,125
E1W715,43.5,71,74,2.5,3.5,4,11.5,20.5,3.5,17,27.5,14,47,54,55.5,277,290,362.5
E1W716,20,25.5,29.5,0.5,2,1.5,3.5,4.5,2,7.5,6.5,6,15,21.5,20,56,67.5,99
E1W717,6,9,10.5,1.5,0,0,2.5,4,1.5,3,4,2.5,8.5,9,7,41,42.5,44
E1W718,12,13,15.5,0,1.5,0,1,1.5,0.5,1.5,1.5,2,5,5,7.5,47.5,58.5,62.5
E1W719,25,33.5,44,0,4,1.5,2.5,5.5,1.5,4,7.5,9,20,18,19.5,104,129,146
E1W720,9,6.5,5.5,1.5,2,0.5,2,5.5,1.5,4,4.5,7.5,8,13,16,78,90,104.5
E1W721,4,3,5.5,1.5,1,0,0.5,0,0.5,0.5,1.5,1,5,4,5,29,27.5,42
E1W722,16.5,20.5,19.5,0.5,2.5,0,1,4,3.5,3.5,4.5,6,17,11,10,58,75,67
E1W723,18,34,19.5,5,2,1.5,6,10,0,9.5,15.5,9.5,28.5,39.5,23,124.5,150,149
E1W724,17.5,24,25,4.5,1,0,5,4,3,3,10,6.5,10,26.5,12,54.5,59,70
E1W725,140.5,189.5,226.5,36,39.5,19,47,101.5,35,90,161.5,64.5,210.5,257.5,118.5,670.5,659,435.5
E1W726,43.5,46,42,3.5,6.5,3,12,17.5,14.5,21.5,25,26.5,40.5,59.5,67,310,333.5,387
E1W727,64,85.5,61,13.5,19.5,6,25,41,21.5,28.5,68,82.5,128.5,146,102.5,292.5,364,425
E1W728,37,52,61.5,6.5,12,6,19.5,36.5,16,33.5,46.5,33,90.5,86.5,65.5,263,249.5,294
E1W729,72,75.5,81.5,5.5,8,3.5,11,28,12,10.5,41.5,20,53.5,66,70.5,238.5,274,317.5
E1W730,184,244.5,300,5,5.5,1,10.5,13.5,5.5,7,18,5.5,43.5,58,34,192.5,215,250
E1W731,193,222.5,270,11,26.5,10.5,27,58.5,24,45.5,79.5,47,87.5,145,116.5,378,478,569
E1W732,2,7.5,6,2,0,1,1.5,1,0.5,2,3,2.5,5.5,3,2,9,16,17
E1W733,0.5,0.5,1,0,0.5,0,1,1.5,0,1,0.5,1.5,0.5,1.5,2,23.5,23,23.5
E1W734,0.5,1.5,1.5,0.5,1,0,0.5,0,0,0,0,0.5,1,1.5,3,22.5,32.5,33
E1W735,24.5,34,29.5,1,0.5,0,2.5,4.5,3,3.5,5.5,0.5,21.5,29,19,120,139.5,174
E1W736,99,132.5,67,10,11.5,4,15.5,30.5,13.5,12.5,31,31.5,62.5,65,67,246,243,274
E1W737,0.5,2.5,1,0.5,0,0,0,0,0,0,0,0.5,0.5,1,1.5,11,11,11.5
E1W738,0,0.25,0.5,0,0,0,0,0,0,0,0,1,0,0,0.25,0.75,2,1.75
E1W739,0,0.5,2.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,3.5,4,6
E1W740,7.5,5,18,1,2,2.5,1,2,1,8,4.5,1.5,12.5,13,3,51.5,61.5,78
E1W741,18.5,24.5,15.5,0,1,0,0.5,3,2.5,0,3.5,2,16,17.5,17,40.5,34,50.5
E1W742,0.5,3,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,3.5,1,3
E1W743,5,5,1,0.5,0,0,0,2,0,0.5,1,1.5,1,3,1,8.5,9.5,11
E1W744,88,79,42,8.5,6,2,4,14.5,4,3.5,5.5,8.5,13,18,15.5,66.5,78,102
E1W745,1.5,1.5,1.5,0,0.5,0,0,0,0,0,1,0,2,0.5,5,14.5,10.5,21.5
E1W746,2.5,7,5,0,1,0,2,0.5,0,1,2,1.5,7.5,10,7,37,35.5,55.5
E1W747,0,1,0.5,0,0,0,0,0,0,0.5,1,1.5,1.5,1,3,7,3.5,11
E1W748,1.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,2,5,5
E1W749,5,7,2.5,0.5,0.5,0,1,3.5,1,0,0.5,0.5,1.5,5.5,1.5,10,14,14.5
E1W750,93.5,142.5,65.5,6.5,8.5,2.5,9.5,18.5,5.5,3.5,3.5,14.5,14.5,15,28,28.5,31.5,44.5
E1W751,5.5,7,5.5,2,3.5,0.5,4,6.5,0,0.5,1,1,4,5,11,38.5,48.5,67.5
E1W752,20,21,5,2.5,2,0.5,2.5,1,0.5,1.5,3.5,0.5,11.5,17,22.5,116.5,153,170.5
E1W753,0.5,1.5,1,0,0,0,0.5,0,0,0,0,0,0,4,4.5,18.5,21,32
E1W754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,4.5,2.5,9
E1W755,2,1.5,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,3,3.5,31.5,39,45
E1W756,18,19.5,12,0.5,1,0.5,2,0.5,1.5,1.5,1.5,1.5,6,15,10.5,50,64,68
E1W757,2.5,3.5,2,0,1,1.5,0,1,0,1,0.5,1,6,8,10,39,42.5,38
E1W758,5.5,8,6.5,0,1.5,1,1,2.5,2,1,1,1,17.5,11,15,64,65,105.5
E1W759,4,7,4.5,0,0.5,0,2,2,0,0.5,1,0.5,1.5,1.5,4,17,11,16.5
E1W760,0,0.5,0,0,0,0,0,0,0,0,2,0,3.5,1.5,2.5,13,4,3.5
E1W761,1,0,3,0,0,0,0,0,0.5,0,0,0,1.5,1.5,0.5,9,5.5,13
E1W762,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,7.5,8.5,9
E1W763,2,1,2.5,0,0,0,0.5,0,0.5,1.5,0.5,0,3,1.5,2.5,13,20.5,19
E1W764,8,3,2.5,0,1,0,2.5,4.5,2.5,2,6,0.5,12,8.5,7,58,57,68
E1W765,7,5,9,0,1,3,2.5,1,0.5,1.5,5,3.5,8.5,11.5,7,37,40,46.5
E1W766,2,2,5,0.5,0.5,0,1,2.5,1,3.5,2,2,8.5,9.5,9.5,42.5,42,55.5
E1W767,0,1,7.5,0,0,1,0,0,0,0,2,0,0,3.5,1.5,4,7.5,6
E1W768,0,0,1.5,0,0,0,1,0,0,1,0,0,1,2,0.5,4.5,3,2.5
E1W769,1,0.5,3.5,0.5,0,0,1,0,0,0,0.5,0,2,4.5,2.5,5,7,7
E1W770,2.5,1.5,1,0,1,0.5,0,1,0,0,4,1.5,3,1,1,6.5,5.5,14
E1W771,2,5.5,4.5,0,0,0,0,2,1,0.5,3,1,3.5,2.5,4,21,16.5,20
E1W772,0.5,1.5,0.5,0,0,0,0.5,0.5,0,0,0.5,0.5,2,1,1.5,12.5,6,12
E1W773,0,1,2,0,0,0,2,0,0,0.5,3,1,1,0,1,6,7,12.5
E1W774,9.5,13,13.5,1,0.5,0,3.5,5,1,3,14,3.5,15,16.5,24.5,100.5,105,115
E1W775,2,1.5,0.5,0.5,0,0.5,0.5,1,0,0,1,1.5,4,4,3,13.5,19,23
E1W776,7,4.5,5,1,4.5,2,2.5,6,1,9.5,10,6,9,14,9.5,24.5,40,45.5
E1W777,18.5,31.5,25.5,51.5,69.5,39,105.5,190.5,63.5,158,309,156,196.5,238,204.5,162,165.5,137.5
E1W778,2.5,5,4,0,0.5,0,1,0,0,1.5,1,0.5,3,2.5,3,7.5,11,14
E1W779,0.5,3,3,0.5,0,0,0,0.5,0.5,1.5,1.5,1,1.5,2,0.5,13,16,18.5
E1W780,1.5,2,3,0,0,0,0,0.5,0,0.5,0,0,3,4.5,0.5,11.5,17.5,21
E1W781,7.5,13.5,9,1.5,2,0,3,7,2.5,8.5,8.5,2.5,12.5,9,18,72.5,85,96.5
E1W782,3,1.5,4,0.5,1,0,0,0,0,0,8,1.5,3.5,6,8,57.5,46.5,76
E1W783,1.5,0.5,1.5,0,2.5,0,0,0,0.5,0,0.5,0,2.5,0.5,2.5,12,14.5,12
E1W784,4,13.5,5,41.5,58.5,11,85.5,174,47.5,68.5,130,127.5,157,150.5,167,212.5,220.5,241
E1W785,0.5,1.5,3.5,1.5,6,3,5,9.5,4,12.5,14.5,19,12,16,14.5,37.5,40.5,60.5
E1W787,31,49,24,6,4.5,1.5,8.5,12,3,3.5,20,13,12,20.5,14.5,64,68.5,65.5
E1W788,14,9,2.5,3,1,0,1.5,3.5,1.5,0.5,5,5,4.5,5.5,5,10,14,30.5
E1W789,42.5,78.5,79.5,8.5,19,6.5,19,36.5,11.5,27.5,51,18,59,75,74,174.5,203.5,216
E1W790,8.5,12,11,1.5,0.5,0,1.5,0.5,2,0.5,3,2,6.5,10,7,46,48,44.5
E1W791,44.5,61.5,47.5,2.5,6,3,3,7.5,1.5,3,11,5,16,20.5,16,78.5,97,153.5
E1W792,22,15,18,0.5,2.5,0,1,2.5,1.5,4,6,2,12,12,20,88.5,81,108
E1W793,39,25,33.5,1.5,2.5,2,6,10,3,6.5,10.5,14.5,44.5,46.5,58.5,249.5,316,359.5
E1W794,23.5,39,42.5,4,4,1,8,8,4.5,9,15.5,3,31.5,44.5,30,167.5,180.5,206
E1W795,10,13,14.5,1,1,0.5,5,4.5,1.5,4,5,2.5,12,20.5,17,49,46,66
E1W796,35,45,91.5,7,8,4,9,35.5,3,9.5,13,14,27.5,37.5,25.5,94,118.5,131.5
E1W797,5.5,15.5,7.5,0.5,1,0,1.5,5,2.5,0.5,5,2,6.5,8,4.5,16,21.5,27
E1W798,39,55,50,2.5,9,4.5,13,14,10.5,5,16.5,18.5,49,67.5,76.5,115.5,128.5,177
E1W799,91,105,154,3,6.5,4,5,18,6.5,6.5,12,6,21.5,35,27.5,127,123.5,154
E1W7A0,41.5,61,79.5,7,5,9,9,12,4,5,22,3,35.5,35,33,149,142.5,178.5
E1W7A1,11.5,16.5,20.5,3.5,1,1.5,3,6,4.5,4,4,4.5,6.5,12,20,43,59.5,62
E1W7A2,1126.5,1609.5,1648,72.5,85,30.5,151.5,232,47,124.5,263,109.5,258.5,344,237.5,1143,1230,1474.5
E1W7A3,23.5,30.5,31,8,11.5,8.5,12,22.5,3.5,8.5,15,12,79.5,81.5,131.5,788,794.5,989
E1W7A4,4,8,3,0.5,2,0,1.5,1.5,1,1,6,0.5,2,3,1.5,26,28.5,29.5
E1W7A5,29,35.5,23,2,2.5,0.5,7,8,3.5,5.5,9.5,4.5,19,23.5,16.5,90.5,110.5,144
E1W7A6,12,6.5,8.5,1,0.5,2,0.5,2,1.5,1,3.5,1,2.5,3.5,3,20,29,30.5
E1W7A7,19,35,47.5,2,2.5,3,4,11.5,5,6,8,10,24.5,31,28,104.5,134,127.5
E1W7A8,15.5,17.5,13.5,1,7,1.5,3.5,8.5,1,4.5,7.5,3.5,9.5,13,16.5,58.5,61,65
E1W7A9,2.5,4,1.5,0,0.5,0,1.5,0.5,0,2,0,2,3,4,6.5,32,25,49.5
E1W7B0,7.5,11.5,9.5,1.5,3,1.5,3,4.5,5,2.5,7.5,2.5,11.5,15,15,41,46,58
E1W7B1,12.5,25,5,1,1.5,3,4,9,2,3,11,5,19,24,18.5,77,76.5,102
E1W7B2,20,42,18,1,2,1,5.5,9,2.5,9,9.5,6.5,20,19,25,119.5,125,128
E1W7B3,2,3.5,4,0,0.5,0,2.5,5.5,1,0.5,1,2.5,5,3.5,9.5,29,25.5,40.5
E1W7B4,7,11.5,8,0.5,0.5,2.5,0.5,5,2.5,1,2.5,3.5,9.5,15,12,51.5,56.5,68.5
E1W7B5,2.5,9,7,1,1.5,0.5,4.5,2.5,0,3,2.5,2.5,7.5,9.5,8,53,56,75.5
E1W7B6,20.5,28,18,1.5,3,0,4,8.5,1.5,3,10.5,2,18,19.5,19.5,99.5,96,132.5
E1W7B7,151.5,141.5,170,20.5,14,3.5,23.5,52.5,20,42.5,69,35.5,89,118,123,562.5,701.5,905.5
E1W7B8,62.5,62.5,40,14,13.5,4,24,34,10.5,43,59.5,26.5,71.5,114,70.5,233,272,317.5
E1W7B9,1.5,5.5,3,113.5,149,34,198,325.5,81.5,220.5,479,236,385.5,490.5,289,375.5,432.5,459.5
E1W7C0,5.5,3,5.5,1,8.5,0.5,4.5,6.5,4,2.5,2,5,6.5,5,4,10,9.5,15
E1W7C1,48.5,56,66,12.5,24.5,8,8,20.5,9.5,12,10,9.5,15,16.5,10.5,42,49.5,39.5
E1W7C2,61,78.5,79.5,24,27.5,9.5,12,30.5,13.5,0.5,3.5,5.5,6.5,6.5,3,26.5,38.5,35.5
E1W7C3,1.5,2,0.5,2,0.5,0,3,1.5,0.5,0,0,0.5,3,1.5,7.5,3.5,4.5,15
E1W7C4,0.5,0.5,0,0.5,1,0,1.5,1,0,0.5,0.5,2.5,2.5,1.5,4,5.5,4,13.5
E1W7C5,4.5,5.5,2.5,10.5,14.5,4,20.5,35,12.5,24,42.5,35.5,58.5,65,89,107,119.5,124.5
E1W7C6,8.5,14,12,3,1.5,0.5,4.5,3,2.5,2.5,6,5.5,11.5,15.5,10.5,35,43,43
E1W7C7,11.5,19,16,3,1.5,1,7,10,3,6,15,6,12,16,9.5,45,52.5,59
E1W7C8,10.5,7.5,11,1.5,1,0,4,3.5,4,3.5,5,6.5,11,13.5,12,35.5,35,53
E1W7C9,2,0.5,1.5,0,0,0,0,0,0.5,0,4,1.5,1.5,5,1.5,6.5,14,16
E1W7D0,1,4.5,5,0.5,0,0,0,0.5,0.5,1.5,1.5,4,3.5,6.5,5.5,18,37,44.5
E1W7D1,7,3.5,2.5,0.5,0.5,0,0.5,1.5,0.5,1,0.5,0,4.5,3.5,2.5,8.5,10.5,14
E1W7D2,3,8.5,4.5,3,1,3,1,2.5,0,1,5,2,10.5,6,6,20,30.5,23
E1W7D3,2,4.5,4.5,0,0,1,1.5,0,0,1,4,1,4,5,6,20,22.5,27.5
E1W7D4,1,3,4,0,0,0,0,3,1,2,4,2,3,4.5,6,16.5,21.5,23.5
E1W7D5,1,2,2.5,0,0,0,0,1.5,0.5,3,1.5,2.5,1,3,4.5,3,7,30.5
E1W7D6,1.5,3,1,0,0,0.5,0.5,2,0.5,0.5,1.5,2,2.5,0.5,6.5,5.5,10,11.5
E1W7D7,1,1.5,1,0.5,0,0,0.5,2,1,1,1,1.5,4,2.5,2.5,10.5,13,14
E1W7D8,2.5,6,4,0.5,0.5,0,2,1,0,1,3,1.5,5,6,3,17.5,27,42.5
E1W7D9,2,2.5,3,0,0,0,0.5,0.5,0,0,2.5,1.5,1,3.5,3.5,16.5,13.5,20
E1W7E0,0,2,3,0,0.5,0,0.5,1,0,1,2,0,1.5,3.5,4.5,19,27.5,28.5
E1W7E1,1,1.5,0.5,0,0,0,0,2.5,0,1,0.5,0,3,1,5,21,24.5,32
E1W7E2,8,6,6,2,2.5,0.5,3.5,0.5,0.5,3,2,1.5,2.5,7,12,26,23.5,48.5
E1W7E3,87.5,133.5,1210,6,30,8.5,7.5,98.5,25,36,67.5,9.5,102.5,105.5,70,347,446.5,470
E1W7E4,12,11.5,31,1.5,0,2.5,0.5,2,0.5,1,2.5,2,13,12,13,72.5,87,134
E1W7E5,6,6.5,6,1.5,0,0,0,0.5,0,0.5,0.5,1.5,8.5,15,15,121,108.5,144
E1W7E6,2,1.5,2,0,0.5,0,0.5,1,0,0,1,0,2,6.5,4,37.5,53.5,43
E1W7E7,0.5,4.5,2,0,0,0,2,2.5,0.5,1,0.5,3,3,5.5,5,38,34,47.5
E1W7E8,5,5,8.5,1,2.5,0,1,12,1,5.5,13.5,8,20,29,34,50,60,83
E1W7E9,20,32,23.5,15,12.5,4.5,17.5,24,7,5.5,25.5,34,33,36,63,59.5,69,80
E1W7F0,23.5,32.5,31,9.5,10.5,5,14.5,25.5,6,25,33,19,44,56.5,62.5,114,109.5,113.5
E1W7F1,1.5,3,3.5,1.5,3.5,0.5,1,7,2,2.5,9,4.5,19.5,19,49,40.5,39,54.5
E1W7F2,10,8,9.5,0.5,0.5,0,0.5,4,1.5,2,3,2.5,16,19,17,60,59.5,89
E1W7F3,34,45,21.5,4.5,2.5,0.5,10.5,15,5,1,13,18,18,26,21.5,71.5,72,106.5
E1W7F4,452.5,602,607.5,31.5,35.5,20,67,98.5,40,105,236,103,304.5,354.5,280,857.5,859.5,1052
E1W7F5,57.5,69.5,100,34.5,36.5,20,43.5,79.5,47,58,134.5,95,153,194.5,135.5,156,164,225
E1W7F6,15,13,11,27.5,36.5,16.5,17,32.5,13,33,49.5,31,74,84,89,140,139,167
E1W7F7,18,22,21,4,1,2.5,7,10.5,2,10,23.5,14,23.5,25.5,27,88,89,97
E1W7F8,3.5,7,7.5,0.5,0,0,3,0,2,2.5,7,2,5.5,6,17,89,89,129.5
E1W7F9,1.5,0.5,0.5,1.5,1.5,0,1.5,2,0,2,5,1.5,8,6.5,4.5,20.5,28.5,26
E1W7G0,1.5,1.5,1,0,0,0,0,0.5,0.5,1,5.5,5.5,8,6,6.5,15,12,19
E1W7G1,0.5,4.5,3,0,0.5,0,0,0.5,0,2,4,1.5,7,4.5,2.5,17.5,20.5,23
E1W7G2,3,6,2.5,0,1,1,0,1.5,0.5,2,2.5,2,1.5,5,5.5,26,27,33.5
E1W7G3,7.5,7,8.5,1,4,0,1.5,4,0.5,5.5,9.5,13.5,7,8,12,38.5,46,64.5
E1W7G4,18.5,11,19.5,0,1.5,0.5,0,3,0,2,5,1,6.5,7,11.5,45.5,56,65.5
E1W7G5,34.5,59.5,33.5,3.5,3.5,0.5,2.5,8,2,2,7.5,10,19.5,28,25,115,122.5,151
E1W7G6,11.5,18.5,15,0.5,0,0.5,1,1.5,1.5,3,4,3.5,7.5,14.5,12.5,38,53.5,70
E1W7G7,15,23.5,29.5,0,1.5,0,1,6.5,1,8.5,5,2,10.5,19.5,22,75.5,96,146.5
E1W7G8,2,3.5,1.5,0,0,1.5,0,3,0,1,2,1.5,7,5.5,2.5,28,23.5,21.5
E1W7G9,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0.5,6,9,8.5
E1W7H0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1.5,8.5,9,11
E1W7H1,0.5,0,0.5,0,0,0,0,0,0,0.5,0.5,0,0,1.5,1,9,11,13
E1W7H2,0,0,0,0,0,0,0,0.5,0,0,0,0,1.5,1,2.5,10.5,8,13.5
E1W7H3,4,4,1.5,0,2,0,2,0,0,1.5,2,0,4,5,6.5,36.5,40.5,42.5
E1W7H4,9.5,14.5,8,0,0.5,0,0,1,0.5,0,0.5,0,0,0.5,0.5,5.5,10,12
E1W7H5,6,6.5,2,0,0.5,0,2,1.5,0,0,0,0,1,0.5,0,8,17.5,14
E1W7H6,9,10,11.5,0.5,0.5,0,1.5,1,3.5,3,4.5,3.5,9.5,12,12,32,32,46.5
E1W7H7,45.5,48.5,56,3.5,5.5,4.5,7,22.5,6.5,12,22,15,40.5,60,56,264,267,297
E1W7H8,13,19,17,2,1.5,0,0.5,4,2,1.5,4,1,6,11.5,12.5,65,60.5,82.5
E1W7H9,42,49.5,43.5,8,13.5,0.5,16.5,21.5,12,10,34.5,23.5,48.5,56,41.5,165,181.5,238.5
E1W7I0,48.5,71.5,88.5,9,14.5,4,22.5,28,10,20,35,33,68,87.5,60.5,170.5,164,254
E1W7I1,5,3,6.5,0.5,0,0,1,0.5,0.5,5.5,5,2,9,9,6.5,22.5,14,24.5
E1W7I2,3,9.5,8.5,0,1,0.5,4,2.5,0.5,0.5,9,3,5,9.5,3.5,13,13,18.5
E1W7I3,3,7.5,4,0.5,0.5,0,0.5,0.5,1.5,1,1,1.5,2,5,4.5,23,33,37.5
E1W7I4,20,32.5,34,3,2.5,0.5,14,9,2,4,7,4,16.5,15.5,10,64,70.5,78
E1W7I5,12,17,17.5,2.5,2.5,0.5,4,15.5,2,3,11.5,4.5,15,13.5,9.5,32,35,44
