Gene.Ontology.ID,Function
GO:0016994,  precorrin-6A reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0043115,  precorrin-2 dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004109,  coproporphyrinogen oxidase activity  [isa: 0016491  0003824  0003674 ]
GO:0102040,  fumarate reductase  [isa: 0016491  0003824  0003674 ]
GO:0017150,  tRNA dihydrouridine synthase activity  [isa: 0016491  0003824  0003674 ]
GO:0102264,  tRNA-dihydrouridine20 synthase activity  [isa: 0017150  0016491  0003824  0003674 ]
GO:0051989,  coproporphyrinogen dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0008718,  D-amino-acid dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0015930,  glutamate synthase activity  [isa: 0016491  0003824  0003674 ]
GO:0001716,  L-amino-acid oxidase activity  [isa: 0016491  0003824  0003674 ]
GO:0008734,  L-aspartate oxidase activity  [isa: 0001716  0016491  0003824  0003674 ]
GO:0004733,  pyridoxamine-phosphate oxidase activity  [isa: 0016491  0003824  0003674 ]
GO:0015922,  aspartate oxidase activity  [isa: 0016491  0003824  0003674 ]
GO:0004375,  glycine dehydrogenase  [isa: 0016491  0003824  0003674 ]
GO:0044318,  L-aspartate:fumarate oxidoreductase activity  [isa: 0016491  0003824  0003674 ]
GO:0004657,  proline dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0003842,  1-pyrroline-5-carboxylate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004146,  dihydrofolate reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0004486,  methylenetetrahydrofolate dehydrogenase [NAD [isa: 0016491  0003824  0003674 ]
GO:0004488,  methylenetetrahydrofolate dehydrogenase  [isa: 0004486  0016491  0003824  0003674 ]
GO:0004489,  methylenetetrahydrofolate reductase  [isa: 0016491  0003824  0003674 ]
GO:0004735,  pyrroline-5-carboxylate reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0008752,  FMN reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0033739,  preQ1 synthase activity  [isa: 0016491  0003824  0003674 ]
GO:0050131,  N-methyl-L-amino-acid oxidase activity  [isa: 0016491  0003824  0003674 ]
GO:0003954,  NADH dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0050136,  NADH dehydrogenase  [isa: 0003954  0016491  0003824  0003674 ]
GO:0008137,  NADH dehydrogenase  [isa: 0050136  0003954  0016491  0003824  0003674 ]
GO:0008746,  NAD [isa: 0016491  0003824  0003674 ]
GO:0003957,  NAD [isa: 0008746  0016491  0003824  0003674 ]
GO:0008750,  NAD [isa: 0008746  0016491  0003824  0003674 ]
GO:0003955,  NAD [isa: 0016491  0003824  0003674 ]
GO:0003920,  GMP reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0004148,  dihydrolipoyl dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004362,  glutathione-disulfide reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0004783,  sulfite reductase  [isa: 0016491  0003824  0003674 ]
GO:0004791,  thioredoxin-disulfide reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0008785,  alkyl hydroperoxide reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0047134,  protein-disulfide reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0008940,  nitrate reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0016966,  nitric oxide reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0050626,  trimethylamine-N-oxide reductase  [isa: 0016491  0003824  0003674 ]
GO:0008942,  nitrite reductase [NAD [isa: 0016491  0003824  0003674 ]
GO:0050418,  hydroxylamine reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0098809,  nitrite reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0009389,  dimethyl sulfoxide reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0015036,  disulfide oxidoreductase activity  [isa: 0016491  0003824  0003674 ]
GO:0015035,  protein disulfide oxidoreductase activity  [isa: 0015036  0016491  0003824  0003674 ]
GO:0097573,  glutathione oxidoreductase activity  [isa: 0015035  0015036  0016491  0003824  0003674 ]
GO:0015037,  peptide disulfide oxidoreductase activity  [isa: 0015036  0016491  0003824  0003674 ]
GO:0015038,  glutathione disulfide oxidoreductase activity  [isa: 0015037  0015036  0016491  0003824  0003674 ]
GO:0004604,  phosphoadenylyl-sulfate reductase  [isa: 0016491  0003824  0003674 ]
GO:0008113,  peptide-methionine  [isa: 0016491  0003824  0003674 ]
GO:0033743,  peptide-methionine  [isa: 0016491  0003824  0003674 ]
GO:0050140,  nitrate reductase  [isa: 0016491  0003824  0003674 ]
GO:0004601,  peroxidase activity  [isa: 0016491  0003824  0003674 ]
GO:0004096,  catalase activity  [isa: 0004601  0016491  0003824  0003674 ]
GO:0004602,  glutathione peroxidase activity  [isa: 0004601  0016491  0003824  0003674 ]
GO:0008379,  thioredoxin peroxidase activity  [isa: 0004601  0016491  0003824  0003674 ]
GO:0051920,  peroxiredoxin activity  [isa: 0016491  0003824  0003674 ]
GO:0008901,  ferredoxin hydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0008681,  2-octaprenyl-6-methoxyphenol hydroxylase activity  [isa: 0016491  0003824  0003674 ]
GO:0016706,  2-oxoglutarate-dependent dioxygenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004597,  peptide-aspartate beta-dioxygenase activity  [isa: 0016706  0016491  0003824  0003674 ]
GO:0008941,  nitric oxide dioxygenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004784,  superoxide dismutase activity  [isa: 0016491  0003824  0003674 ]
GO:0004322,  ferroxidase activity  [isa: 0016491  0003824  0003674 ]
GO:0051745,  4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0008998,  ribonucleoside-triphosphate reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0061731,  ribonucleoside-diphosphate reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0046429,  4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity  [isa: 0016491  0003824  0003674 ]
GO:0008937,  ferredoxin-NAD [isa: 0016491  0003824  0003674 ]
GO:0004324,  ferredoxin-NADP+ reductase activity  [isa: 0008937  0016491  0003824  0003674 ]
GO:0004738,  pyruvate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004739,  pyruvate dehydrogenase  [isa: 0004738  0016491  0003824  0003674 ]
GO:0003942,  N-acetyl-gamma-glutamyl-phosphate reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0004030,  aldehyde dehydrogenase [NAD [isa: 0016491  0003824  0003674 ]
GO:0004029,  aldehyde dehydrogenase  [isa: 0004030  0016491  0003824  0003674 ]
GO:0019145,  aminobutyraldehyde dehydrogenase activity  [isa: 0004029  0004030  0016491  0003824  0003674 ]
GO:0004073,  aspartate-semialdehyde dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004350,  glutamate-5-semialdehyde dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004491,  methylmalonate-semialdehyde dehydrogenase  [isa: 0016491  0003824  0003674 ]
GO:0008774,  acetaldehyde dehydrogenase  [isa: 0016491  0003824  0003674 ]
GO:0008863,  formate dehydrogenase  [isa: 0016491  0003824  0003674 ]
GO:0008883,  glutamyl-tRNA reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0009013,  succinate-semialdehyde dehydrogenase [NAD [isa: 0016491  0003824  0003674 ]
GO:0018480,  5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0043824,  succinylglutamate-semialdehyde dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0048001,  erythrose-4-phosphate dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0004591,  oxoglutarate dehydrogenase  [isa: 0016491  0003824  0003674 ]
GO:0033737,  1-pyrroline dehydrogenase activity  [isa: 0016491  0003824  0003674 ]
GO:0030611,  arsenate reductase activity  [isa: 0016491  0003824  0003674 ]
GO:0008794,  arsenate reductase  [isa: 0030611  0016491  0003824  0003674 ]
GO:0043364,  glycyl-radical enzyme activating activity  [isa: 0016491  0003824  0003674 ]
GO:0043365,  [formate-C-acetyltransferase]-activating enzyme activity  [isa: 0043364  0016491  0003824  0003674 ]
GO:0045301,  tRNA- [isa: 0016491  0003824  0003674 ]
GO:0051213,  dioxygenase activity  [isa: 0016491  0003824  0003674 ]
GO:0016740,  transferase activity  [isa: 0003824  0003674 ]
GO:0008168,  methyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0004047,  aminomethyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0008169,  C-methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0002935,  tRNA  [isa: 0008169  0008168  0016740  0003824  0003674 ]
GO:0004851,  uroporphyrin-III C-methyltransferase activity  [isa: 0008169  0008168  0016740  0003824  0003674 ]
GO:0030580,  quinone cofactor methyltransferase activity  [isa: 0008169  0008168  0016740  0003824  0003674 ]
GO:0070040,  rRNA  [isa: 0008169  0008168  0016740  0003824  0003674 ]
GO:0070041,  rRNA  [isa: 0008169  0008168  0016740  0003824  0003674 ]
GO:0008170,  N-methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0008988,  rRNA  [isa: 0008170  0008168  0016740  0003824  0003674 ]
GO:0036307,  23S rRNA  [isa: 0008988  0008170  0008168  0016740  0003824  0003674 ]
GO:0052907,  23S rRNA  [isa: 0008988  0008170  0008168  0016740  0003824  0003674 ]
GO:0052908,  16S rRNA  [isa: 0008988  0008170  0008168  0016740  0003824  0003674 ]
GO:0008990,  rRNA  [isa: 0008170  0008168  0016740  0003824  0003674 ]
GO:0052913,  16S rRNA  [isa: 0008990  0008170  0008168  0016740  0003824  0003674 ]
GO:0052914,  16S rRNA  [isa: 0008990  0008170  0008168  0016740  0003824  0003674 ]
GO:0052915,  23S rRNA  [isa: 0008990  0008170  0008168  0016740  0003824  0003674 ]
GO:0052916,  23S rRNA  [isa: 0008990  0008170  0008168  0016740  0003824  0003674 ]
GO:0016430,  tRNA  [isa: 0008170  0008168  0016740  0003824  0003674 ]
GO:0036009,  protein-glutamine N-methyltransferase activity  [isa: 0008170  0008168  0016740  0003824  0003674 ]
GO:0070043,  rRNA  [isa: 0008170  0008168  0016740  0003824  0003674 ]
GO:0071424,  rRNA  [isa: 0008170  0008168  0016740  0003824  0003674 ]
GO:0008171,  O-methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0010340,  carboxyl-O-methyltransferase activity  [isa: 0008171  0008168  0016740  0003824  0003674 ]
GO:0051998,  protein carboxyl O-methyltransferase activity  [isa: 0010340  0008171  0008168  0016740  0003824  0003674 ]
GO:0004719,  protein-L-isoaspartate  [isa: 0051998  0010340  0008171  0008168  0016740  0003824  0003674 ]
GO:0008983,  protein-glutamate O-methyltransferase activity  [isa: 0051998  0010340  0008171  0008168  0016740  0003824  0003674 ]
GO:0061542,  3-demethylubiquinone-n 3-O-methyltransferase activity  [isa: 0008171  0008168  0016740  0003824  0003674 ]
GO:0008689,  3-demethylubiquinone-9 3-O-methyltransferase activity  [isa: 0061542  0008171  0008168  0016740  0003824  0003674 ]
GO:0062105,  RNA 2'-O-methyltransferase activity  [isa: 0008171  0008168  0016740  0003824  0003674 ]
GO:0008650,  rRNA  [isa: 0062105  0008171  0008168  0016740  0003824  0003674 ]
GO:0070039,  rRNA  [isa: 0062105  0008171  0008168  0016740  0003824  0003674 ]
GO:0070677,  rRNA  [isa: 0062105  0008171  0008168  0016740  0003824  0003674 ]
GO:0106050,  tRNA 2'-O-methyltransferase activity  [isa: 0062105  0008171  0008168  0016740  0003824  0003674 ]
GO:0009020,  tRNA  [isa: 0106050  0062105  0008171  0008168  0016740  0003824  0003674 ]
GO:0008172,  S-methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0003871,  5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity  [isa: 0008172  0008168  0016740  0003824  0003674 ]
GO:0003908,  methylated-DNA-[protein]-cysteine S-methyltransferase activity  [isa: 0008172  0008168  0016740  0003824  0003674 ]
GO:0008705,  methionine synthase activity  [isa: 0008172  0008168  0016740  0003824  0003674 ]
GO:0008173,  RNA methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0008175,  tRNA methyltransferase activity  [isa: 0008173  0008168  0016740  0003824  0003674 ]
GO:0004808,  tRNA  [isa: 0008175  0008173  0008168  0016740  0003824  0003674 ]
GO:0016300,  tRNA  [isa: 0008175  0008173  0008168  0016740  0003824  0003674 ]
GO:0016423,  tRNA  [isa: 0008175  0008173  0008168  0016740  0003824  0003674 ]
GO:0016426,  tRNA  [isa: 0008175  0008173  0008168  0016740  0003824  0003674 ]
GO:0008649,  rRNA methyltransferase activity  [isa: 0008173  0008168  0016740  0003824  0003674 ]
GO:0016433,  rRNA  [isa: 0008649  0008173  0008168  0016740  0003824  0003674 ]
GO:0016434,  rRNA  [isa: 0008649  0008173  0008168  0016740  0003824  0003674 ]
GO:0016435,  rRNA  [isa: 0008649  0008173  0008168  0016740  0003824  0003674 ]
GO:0016436,  rRNA  [isa: 0008649  0008173  0008168  0016740  0003824  0003674 ]
GO:0070037,  rRNA  [isa: 0008649  0008173  0008168  0016740  0003824  0003674 ]
GO:0008276,  protein methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0008757,  S-adenosylmethionine-dependent methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0003886,  DNA  [isa: 0008757  0008168  0016740  0003824  0003674 ]
GO:0070038,  rRNA  [isa: 0070037  0008649  0008757  0008168  0016740  0003824  0003674 ]
GO:0009007,  site-specific DNA-methyltransferase  [isa: 0008757  0008168  0016740  0003824  0003674 ]
GO:0008176,  tRNA  [isa: 0016423  0008757  0008168  0016740  0003824  0003674 ]
GO:0009019,  tRNA  [isa: 0016423  0008757  0008168  0016740  0003824  0003674 ]
GO:0030697,  S-adenosylmethionine-dependent tRNA  [isa: 0008757  0008168  0016740  0003824  0003674 ]
GO:0030788,  precorrin-2 C20-methyltransferase activity  [isa: 0008757  0008168  0016740  0003824  0003674 ]
GO:0046026,  precorrin-4 C11-methyltransferase activity  [isa: 0008757  0008168  0016740  0003824  0003674 ]
GO:0009008,  DNA-methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0004799,  thymidylate synthase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0042084,  5-methyltetrahydrofolate-dependent methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0042085,  5-methyltetrahydropteroyltri-L-glutamate-dependent methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0043781,  cobalt-factor II C20-methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0102130,  malonyl-CoA methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0102559,  protein- [isa: 0008168  0016740  0003824  0003674 ]
GO:0102955,  S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity  [isa: 0008168  0016740  0003824  0003674 ]
GO:0003864,  3-methyl-2-oxobutanoate hydroxymethyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0004372,  glycine hydroxymethyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0004479,  methionyl-tRNA formyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0004643,  phosphoribosylaminoimidazolecarboxamide formyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0004644,  phosphoribosylglycinamide formyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0043815,  phosphoribosylglycinamide formyltransferase 2 activity  [isa: 0016740  0003824  0003674 ]
GO:0099619,  UDP-4-amino-4-deoxy-L-arabinose formyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0016743,  carboxyl- or carbamoyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0004070,  aspartate carbamoyltransferase activity  [isa: 0016743  0016740  0003824  0003674 ]
GO:0004585,  ornithine carbamoyltransferase activity  [isa: 0016743  0016740  0003824  0003674 ]
GO:0003984,  acetolactate synthase activity  [isa: 0016740  0003824  0003674 ]
GO:0004801,  sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0004802,  transketolase activity  [isa: 0016740  0003824  0003674 ]
GO:0008661,  1-deoxy-D-xylulose-5-phosphate synthase activity  [isa: 0016740  0003824  0003674 ]
GO:0070204,  2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity  [isa: 0016740  0003824  0003674 ]
GO:0004312,  fatty acid synthase activity  [isa: 0016740  0003824  0003674 ]
GO:0004314,  [acyl-carrier-protein] S-malonyltransferase activity  [isa: 0004312  0016740  0003824  0003674 ]
GO:0004315,  3-oxoacyl-[acyl-carrier-protein] synthase activity  [isa: 0004312  0016740  0003824  0003674 ]
GO:0004317,  3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity  [isa: 0004312  0016740  0003824  0003674 ]
GO:0008374,  O-acyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0004366,  glycerol-3-phosphate O-acyltransferase activity  [isa: 0008374  0016740  0003824  0003674 ]
GO:0008779,  acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase activity  [isa: 0008374  0016740  0003824  0003674 ]
GO:0008780,  acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity  [isa: 0008374  0016740  0003824  0003674 ]
GO:0016411,  acylglycerol O-acyltransferase activity  [isa: 0008374  0016740  0003824  0003674 ]
GO:0003841,  1-acylglycerol-3-phosphate O-acyltransferase activity  [isa: 0016411  0008374  0016740  0003824  0003674 ]
GO:0016412,  serine O-acyltransferase activity  [isa: 0008374  0016740  0003824  0003674 ]
GO:0009001,  serine O-acetyltransferase activity  [isa: 0016412  0008374  0016740  0003824  0003674 ]
GO:0016413,  O-acetyltransferase activity  [isa: 0008374  0016740  0003824  0003674 ]
GO:0004414,  homoserine O-acetyltransferase activity  [isa: 0016413  0008374  0016740  0003824  0003674 ]
GO:0016416,  O-palmitoyltransferase activity  [isa: 0008374  0016740  0003824  0003674 ]
GO:0016750,  O-succinyltransferase activity  [isa: 0008374  0016740  0003824  0003674 ]
GO:0008899,  homoserine O-succinyltransferase activity  [isa: 0016750  0008374  0016740  0003824  0003674 ]
GO:0008710,  8-amino-7-oxononanoate synthase activity  [isa: 0016740  0003824  0003674 ]
GO:0008913,  lauroyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0008951,  palmitoleoyl [acyl-carrier-protein]-dependent acyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0016407,  acetyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0008080,  N-acetyltransferase activity  [isa: 0016407  0016740  0003824  0003674 ]
GO:0004042,  acetyl-CoA:L-glutamate N-acetyltransferase activity  [isa: 0008080  0016407  0016740  0003824  0003674 ]
GO:0019134,  glucosamine-1-phosphate N-acetyltransferase activity  [isa: 0008080  0016407  0016740  0003824  0003674 ]
GO:0034069,  aminoglycoside N-acetyltransferase activity  [isa: 0008080  0016407  0016740  0003824  0003674 ]
GO:0047663,  aminoglycoside 6'-N-acetyltransferase activity  [isa: 0034069  0008080  0016407  0016740  0003824  0003674 ]
GO:0051392,  tRNA N-acetyltransferase activity  [isa: 0008080  0016407  0016740  0003824  0003674 ]
GO:0008959,  phosphate acetyltransferase activity  [isa: 0016407  0016740  0003824  0003674 ]
GO:0016418,  S-acetyltransferase activity  [isa: 0016407  0016740  0003824  0003674 ]
GO:0004742,  dihydrolipoyllysine-residue acetyltransferase activity  [isa: 0016418  0016407  0016740  0003824  0003674 ]
GO:0016453,  C-acetyltransferase activity  [isa: 0016407  0016740  0003824  0003674 ]
GO:0008861,  formate C-acetyltransferase activity  [isa: 0016453  0016407  0016740  0003824  0003674 ]
GO:0008890,  glycine C-acetyltransferase activity  [isa: 0016453  0016407  0016740  0003824  0003674 ]
GO:0016408,  C-acyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0003988,  acetyl-CoA C-acyltransferase activity  [isa: 0016408  0016740  0003824  0003674 ]
GO:0016409,  palmitoyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0016410,  N-acyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0016749,  N-succinyltransferase activity  [isa: 0016410  0016740  0003824  0003674 ]
GO:0008791,  arginine N-succinyltransferase activity  [isa: 0016749  0016410  0016740  0003824  0003674 ]
GO:0016415,  octanoyltransferase activity  [isa: 0016740  0003824  0003674 ]
GO:0102555,  octanoyl transferase activity  [isa: 0016415  0016740  0003824  0003674 ]
GO:0016417,  S-acyltransferase activity  [isa: 0016740  0003824  0003674 ]
