"Gene.name","HeLa.S3.WT.00_h.R1","HeLa.S3.WT.00_h.R2","HeLa.S3.WT.00_h.R3","HeLa.S3.WT.02_h.R1","HeLa.S3.WT.02_h.R2","HeLa.S3.WT.02_h.R3","HeLa.S3.WT.04_h.R1","HeLa.S3.WT.04_h.R2","HeLa.S3.WT.04_h.R3","HeLa.S3.WT.08_h.R1","HeLa.S3.WT.08_h.R2","HeLa.S3.WT.08_h.R3","HeLa.S3.WT.16_h.R1","HeLa.S3.WT.16_h.R2","HeLa.S3.WT.16_h.R3","HeLa.S3.WT.24_h.R1","HeLa.S3.WT.24_h.R2","HeLa.S3.WT.24_h.R3"
"E1W8I8",7.5,8,5.5,8.5,5.5,2,5.5,7,1.5,5,10.5,12,15.5,15,33.5,44.5,56.5,48
"E1W8I9",2,1,0.5,0.5,1,0,2,0.5,0,1,1,2,2,0.5,1.5,19.5,19.5,20.5
"E1W8J1",2,1,2.5,0,0,0.5,0.5,0,0.5,0.5,0,1,1.5,1.5,2,18.5,29.5,31
"E1W8J3",5.5,3,5,2,0,0,1,6.5,1,1,10,4,5.5,2.5,4.5,28,36,40.5
"E1W8J4",7.5,17.5,14.5,3,1,0,1,7,1,1.5,6.5,5,9,10,11.5,42.5,59.5,81.5
"E1W8J7",7.5,4.5,2,0,2,0,0.5,1,5,0,1.5,0.5,2.5,9,4,27.5,29,33.5
"E1W8J8",4,4.5,4,0.5,0.5,1.5,3,1,1.5,0.5,2.5,0.5,2,8.5,5,33.5,36.5,49.5
"E1W8J9",9,11.5,5.5,0,2.5,8.5,2,5.5,1.5,2,9,4,10,9.5,15.5,86,76.5,115.5
"E1W8K2",19,27.5,14.5,4.5,2,0.5,4,5,2.5,2.5,6,10.5,3,3,5.5,20.5,43.5,45
"E1W8K3",16,11.5,6,0,4.5,1.5,1,8,1.5,0.5,2.5,5.5,2.5,5.5,5,34,35.5,42.5
"E1W8K4",13,21,10.5,1,0.5,0.5,0.5,6,0.5,3,4,2,7,8,13,59.5,65,82.5
"E1W8K5",11.5,8.5,10,3,1,0,4,6.5,1.5,3.5,3.5,2.5,10,10.5,18,79,104.5,97.5
"E1W8K6",5.5,8.5,5,1,0.5,0,1,2,0,0.5,1.5,1.5,5,5,3.5,42.5,58,61.5
"E1W8K8",0.5,5,0.5,0,0.5,0,0.5,0.5,0,0,0.5,2,4.5,1.5,5.5,24,32.5,43
"E1W8L1",8,5,11.5,1,0,1.5,1,1.5,0,4,9.5,0,19,24,20,98,125.5,134
"E1W8L2",7,4.5,3.5,0,1.5,0,0,4,1,1,2,0,7,2.5,6,56,55.5,68.5
"E1W8L4",1.5,4,2.5,0,0,0.5,1,0,0,0.5,6,0.5,5,1,3,38,28.5,43.5
"E1W8L7",7,4.5,4.5,3.5,2.5,0.5,2.5,3.5,4,3.5,6.5,8.5,12.5,15.5,14,51.5,58,41
"E1W8L8",44,45,38.5,5,5,3.5,6,7,4,4.5,11,8,18,25.5,18.5,76.5,79,94
"E1W8L9",48.5,43.5,54,2,4,2,8,12.5,6.5,8,17,9,23.5,37,29.5,122.5,143,154
"E1W8M0",11.5,9,9.5,2.5,1,0,1,3,1.5,3,8,4.5,3.5,5,3,8,9.5,15.5
"E1W8M1",7,4,15,1,5.5,0,0.5,3,3,2,3.5,188,11,6.5,10.5,33,44.5,60.5
"E1W8M2",6.5,12,12,0.5,1.5,0,2,1.5,1.5,0,5.5,5,12,13,16.5,48,42.5,61.5
"E1W8M3",5,4,3,0.5,0,0,0.5,0,0,0,0.5,3,2.5,2.5,4,20.5,8.5,14.5
"E1W8M4",34,53.5,41,5,13,3.5,11,15.5,8.5,2,4,10,23.5,33.5,40,115,146,194
"E1W8M5",9,14.5,10,0.5,1,0.5,4.5,5,2.5,6,6,3.5,16.5,19,18.5,124.5,120,140
"E1W8M6",3.5,7,6,0,2.5,1.5,3,5,3.5,6,6,8,11,11.5,10.5,39.5,48,53.5
"E1W8M7",4,6,9.5,2.5,2,1.5,3.5,11.5,4.5,3.5,10,4,7,8.5,11.5,16,19,22.5
"E1W8M8",5,0.5,1.5,0,3,0,2,3.5,5,2,4.5,3,6.5,8.5,3.5,25.5,36,41
"E1W8M9",7.5,21,4,1.5,6.5,0,6.5,5,2,14.5,22,0,74.5,80,8.5,325,468.5,29.5
"E1W8N0",1,5,1.5,0,1,0,0.5,2,0,0.5,0.5,0,3.5,2.5,6.5,19.5,21.5,19
"E1W8N1",2,6.5,2,0.5,3.5,0,3,1,0,0,2.5,3.5,8,0,6,17,30.5,26
"E1W8N2",12,9,3.5,2,7,0.5,6,4,3,0,1.5,2,18.5,6.5,37,58,63.5,39
"E1W8N3",65.5,81,92.5,7.5,11,1.5,10,23.5,5.5,11,18.5,25,37.5,28,31,121,125,146.5
"E1W8N4",49,68.5,47,9.5,14.5,3,15,32,9.5,21,31.5,17.5,68,64,74.5,360,408.5,443.5
"E1W8N6",9,11,10,2.5,2,0,3.5,7.5,1.5,4.5,6,4,15.5,12,14.5,86.5,81,108.5
"E1W8N7",10.5,16.5,22.5,1.5,1.5,0.5,2,3.5,2.5,3,4,2,16,21.5,24.5,78,87.5,101.5
"E1W8N8",21,14.5,12,0.5,4.5,0,2,8.5,2,14.5,11,5.5,28.5,27.5,19.5,129.5,373,96
"E1W8N9",11,6,10,3,4,0.5,4.5,4.5,1.5,6.5,11.5,5,20,24,11,65.5,73,99
"E1W8P0",13,13.5,10,2.5,4.5,5.5,5,12.5,4,8,13.5,12.5,18.5,32,29.5,46,43.5,58.5
"E1W8P1",35.5,57.5,60,3.5,4.5,2,10.5,17.5,8.5,12,30,23,59.5,64,54.5,261.5,315.5,251.5
"E1W8P2",1.5,1.5,4,0,0,1.5,0.5,4,1.5,3,2,2,2.5,4,8,14.5,19.5,27
"E1W8P3",10,5,7,0,2.5,0.5,0.5,2,0.5,1.5,1.5,34,3.5,6.5,4,19,21.5,22
"E1W8P4",11,9,5.5,7,15.5,0.5,19,42.5,16.5,26.5,55.5,26,44.5,49,21.5,34,46,44
"E1W8P5",4.5,6.5,6,1.5,3.5,0.5,4,10,0.5,2,11.5,7.5,4.5,11.5,11,17.5,16.5,32
"E1W8P6",9,12,5.5,1.5,1.5,2.5,5.5,9,2,6.5,4,4.5,13,14,18,52.5,45.5,69
"E1W8P7",32,31.5,42.5,4,4.5,4,10.5,16,3.5,7,17,9.5,32,33.5,32,123.5,119,158.5
"E1W8P8",7.5,8.5,6,0,3,0,2.5,2.5,1.5,0.5,3,4.5,5.5,6.5,3.5,22.5,23.5,40.5
"E1W8P9",34,45.5,56.5,2,3,0,5,6,4,1,8,4,10.5,14.5,13.5,73.5,64.5,95.5
"E1W8Q0",60,71,37,4,7,2.5,13,21,2,9,20.5,12.5,34.5,34.5,36,129,127.5,127.5
"E1W8Q1",27,42,31.5,6,4.5,0.5,9,16.5,7,20,32.5,16.5,20,32.5,21.5,95,89.5,111.5
"E1W8Q2",30,45.5,56.5,1,3,4.5,2.5,6,2.5,2,7.5,5.5,17.5,24.5,21,70.5,61.5,92.5
"E1W8Q3",24,30.5,26.5,1,3.5,1,5.5,4.5,2,4,11,4,16.5,21,23.5,109.5,112,137.5
"E1W8Q4",5,3,2.5,1,1,0,0.5,1,0,1,2.5,1.5,5,8,3.5,31.5,32,32
"E1W8Q5",6,9.5,8,3,5,1,1.5,7,1,4.5,3.5,7,10.5,15,11,32,37.5,63
"E1W8Q6",24.5,20.5,21.5,0.5,1,3.5,6.5,9.5,2,4.5,12.5,7,21,27,12.5,90.5,98,110
"E1W8Q7",10.5,14.5,16.5,1,1.5,0,4,1.5,2.5,1,6,3,9.5,7,9,44.5,44,67.5
"E1W8Q8",21,28.5,25,14.5,23.5,19.5,19.5,30,15,16,37,37.5,53.5,57.5,41,130,128.5,169
"E1W8Q9",11,9,16,7.5,9,4.5,11,23.5,7.5,13.5,27,15.5,33,44,28.5,106,107.5,155.5
"E1W8R0",222,298,299.5,9.5,11.5,2.5,17,22,12.5,19,42,29,74.5,98.5,111.5,332,357,517.5
"E1W8R1",55,76.5,73,4,5,3,3.5,13,3,8.5,14.5,8,26,27.5,28.5,98.5,117.5,147
"E1W8R2",13,21.5,15.5,0,2,3.5,3,3,1,2,5.5,4,6.5,10,8,58,65,85
"E1W8R3",24.5,43.5,48,22,34,18,42.5,85,36,64,142,55,168,242,223.5,662.5,755.5,849.5
"E1W8R4",14,18.5,13,3.5,2,0.5,2.5,2.5,1.5,1,2,0.5,12,15,6,26,28,43.5
"E1W8R5",32,37.5,27.5,2,1,1,5,3,6,5.5,8,7,15.5,17.5,19.5,106.5,127,162
"E1W8R6",66.5,78,84.5,5.5,10.5,3,8.5,21.5,5.5,9,22,15,46,49,55,256.5,266,325
"E1W8R7",73.5,76,98.5,8,6,0.5,9,19,7,16,22,10,44.5,56.5,42,192,221.5,221.5
"E1W8R8",108.5,155,128.5,13,12.5,5.5,27.5,33.5,12.5,31.5,61.5,34,88.5,110,87.5,370,405,462
"E1W8R9",108,147,127,12.5,12.5,5,23.5,41,15,29,67.5,36,108.5,112.5,79.5,285,347,359
"E1W8S0",6.5,8,6.5,1.5,1,1.5,2.5,5,4.5,1.5,7,3,5.5,8.5,7.5,21,24.5,29
"E1W8S1",7.5,5,4,2,2.5,0,3.5,2,1,1,4,3.5,7,6,5,32.5,24.5,31
"E1W8S2",18,19,18.5,0.5,1,1,3,8,1,2.5,2,5,6.5,11.5,10,43,39,60.5
"E1W8S3",27,19,29.5,3,1.5,5.5,4.5,7.5,3,3,8,6.5,8.5,13,8.5,24,27,50.5
"E1W8S4",5,7,5,0,0,1,0,1,0.5,0.5,1,3.5,1,2.5,3.5,16.5,11,20.5
"E1W8S5",14.5,25.5,20.5,11.5,6,5,24,55.5,12,6,43,28,36,66,52,149.5,194.5,176.5
"E1W8S6",10,20,12.5,15.5,14.5,11.5,28.5,62,20,53,90,42.5,100,130.5,91,205.5,247,252.5
"E1W8S7",33.5,32,43,9.5,14,2,23,52.5,12,26,55,31.5,94.5,109.5,99.5,338.5,365.5,457
"E1W8S8",33.5,32.5,49.5,22.5,24.5,4,30.5,61.5,21,22.5,66.5,56.5,99,129.5,136,431.5,446,608
"E1W8S9",21.5,19.5,18,2.5,2.5,2,8,9,3,12.5,21,13,36,49.5,35.5,221.5,213,247.5
"E1W8T0",12,17.5,16.5,2.5,4,0,2,7,3,5.5,15,9,27,32,17.5,86,104,148.5
"E1W8T1",8.5,22,21.5,1,3,1.5,5.5,6.5,1.5,5,12.5,10.5,21.5,27.5,23.5,62,76.5,92
"E1W8T2",51.5,51.5,63,2.5,6,4,16,20.5,8,17,37.5,16,43,52,38,126.5,132.5,145.5
"E1W8T3",36.5,60.5,42,6.5,6,2.5,8,24.5,5,13,24,14.5,41,46.5,45.5,226.5,247.5,231.5
"E1W8T4",11.5,16.5,13.5,2,1.5,0,3,5,2,2.5,5.5,5.5,9,8.5,9,32.5,41.5,63
"E1W8T5",31.5,61.5,75.5,2,6.5,1.5,6,12,2,6,11.5,6.5,30,32.5,22.5,138,128,156.5
"E1W8T6",6,5.5,6.5,2.5,0.5,0,2.5,2,1.5,1,1,1.5,7,5,4.5,41,40.5,59.5
"E1W8T8",1.5,0,3,1,2.5,0.5,1.5,0,1,0.5,1,3.5,3.5,8,5.5,31.5,46.5,48.5
"E1W8T9",3,3,3,1,1,1,2,3,2,2.5,2,0.5,8.5,10.5,6,37.5,43.5,40.5
"E1W8U0",1.5,4,5.5,0,1.5,1,0,0,1,2,3,1,3,6,8.5,37,45,63.5
"E1W8U1",1.5,0,1.5,0.5,1.5,1.5,0,1.5,1,0,3,0.5,1.5,4.5,3.5,15,13,20.5
"E1W8U3",6,6,8,0.5,2,0,0,1.5,0.5,1.5,3.5,2,3,6.5,8,22.5,24,33
"E1W8U4",14,13.5,19,3,4,0,7,4.5,3.5,6.5,10,8.5,9,14.5,12,44.5,49.5,52.5
"E1W8U5",20,41,24.5,2.5,3.5,2,6.5,6,3.5,5.5,6,6,12,18,19,96.5,119.5,111.5
"E1W8U6",26,25,23,3,2.5,0,7.5,14,4.5,7.5,17.5,12.5,20,32,28.5,125,165.5,192.5
"E1W8U7",4,6.5,3,0,2,0,0,5,0.5,1,3,2.5,10.5,12.5,13.5,119,128,138.5
"E1W8U8",5.5,9,6,0,0.5,0.5,0.5,3.5,0,0,3.5,2.5,8.5,6,19,111.5,137.5,171
"E1W8U9",106.5,145.5,187.5,10,6,6.5,14.5,31.5,11.5,20,38.5,30,55,65,61,84.5,111.5,115
"E1W8V0",38.5,71.5,80,6,5,1.5,8.5,20,6,19,23,14.5,28,40,26,36.5,45,45
"E1W8V1",50.5,65.5,89,7,9.5,2.5,9,17,6,13.5,31.5,13,40.5,60.5,24.5,38.5,48,65
"E1W8V2",228,293,343.5,24.5,30,14,38.5,70.5,13.5,58.5,107.5,54,140,168,81.5,181.5,236,232
"E1W8V3",217,288.5,260.5,24,25,6.5,34,50.5,16.5,34,70.5,43.5,96,123,64,223,252,327.5
"E1W8V4",22,18.5,26.5,1.5,3,0,1,4.5,1.5,3.5,5,2,11,8,7,35.5,39,37
"E1W8V5",12.5,17,18,1,2,0,2.5,1.5,1,2.5,3,2.5,5.5,8,6,25.5,29.5,33
"E1W8V6",20.5,28.5,27,7,4.5,0,8,9,2,7,12,7,18,23.5,18,37,49,66.5
"E1W8V7",441,477.5,618.5,42,62.5,9,52,88.5,32.5,51.5,110.5,56,166.5,200.5,182.5,854.5,954,895
"E1W8V8",92,157,148,17,10,13.5,19,31,12,8.5,30,33,51.5,56,77,185.5,204,259.5
"E1W8V9",196.5,305.5,286,35,42.5,19.5,75.5,135,45,57,145,115.5,250,295,300,939.5,1083,1118.5
"E1W8W0",149,155,154.5,46,58,18.5,90.5,131.5,41.5,85.5,173.5,89.5,210,254,195.5,509,545,586
"E1W8W1",476,634,507,55,67.5,84.5,100.5,144.5,69.5,76,125,177,196,208.5,153.5,292.5,295,342.5
"E1W8W2",68.5,85.5,66.5,10,18,8,22.5,52.5,14,55,83.5,38.5,105.5,154,97.5,658,707.5,630.5
"E1W8W4",7.5,3.5,3.5,0.5,0,1,3.5,3.5,0,1,2,2,6.5,8.5,6,26,27,28
"E1W8W5",27,24.5,19,1.5,3.5,1.5,11,9.5,3,4.5,13.5,9,17.5,18.5,18,80,103.5,108.5
"E1W8W6",8.5,14.5,10,1,1.5,1,1.5,5.5,2,5.5,7.5,2,8,16,10,64.5,59.5,72.5
"E1W8W7",9.5,18,12.5,1.5,0,0,0.5,3,0.5,1,1.5,1.5,3.5,15,9.5,38,28,44
"E1W8W8",67.5,99.5,103,5,2.5,3,1,5,1.5,1.5,2,2,5,7.5,6.5,46.5,49.5,63
"E1W8W9",28.5,38,21.5,1.5,1,0.5,4.5,13,2,2,8,5.5,22,24.5,30,147,175.5,175
"E1W8X0",38,50.5,38.5,2.5,2,1,2.5,6,5.5,3.5,11,4,36,41,36.5,250,338,382.5
"E1W8X1",44.5,53.5,88,1,7.5,1.5,7.5,12,7,32,92,14,155,155.5,141,809.5,924,977
"E1W8X3",7,7.5,7,0.5,1,2,1,3.5,1.5,4.5,7,1,30.5,19,26.5,176,205,217.5
"E1W8X4",19,19.5,26,1,1,0.5,3,5.5,1,0.5,3.5,7.5,16.5,11.5,19.5,91.5,110,131
"E1W8X5",29,47,52.5,3,1.5,3.5,7.5,12,5,9.5,17.5,14,18,25,26,45.5,58,69.5
"E1W8X6",12.5,15.5,10,0,0.5,1,1.5,1.5,2.5,4,4.5,4,5,13,11.5,21.5,28,41
"E1W8X7",27,34,19.5,1.5,3,1,8,6,4,2.5,11,7,10.5,11.5,18,87.5,94,126.5
"E1W8X8",3,4.5,0.5,62,80.5,15.5,98.5,176.5,62,85,157.5,77,112,136.5,151,231,239,204
"E1W8X9",4,4.5,5,33.5,49.5,12,65.5,99.5,38,17,52,33.5,46,75,90,121,125,142.5
"E1W8Y0",11,8,3.5,4,7.5,0,16,23.5,7,3.5,20.5,15.5,12.5,25.5,25.5,67,87,100
"E1W8Y1",18,22,18,5.5,2.5,5.5,7,11,3,4,8,10,25.5,28.5,31,171.5,189.5,232
"E1W8Y2",34,31,25.5,9,6.5,0.5,24,37,4,11,19.5,14.5,30.5,43,31.5,209.5,258,205.5
"E1W8Y3",34,35,21.5,5,10,1,15,24,4,4.5,9,9.5,25.5,25.5,28,131.5,174.5,192
"E1W8Y4",188.5,222,292.5,29,32,11,40,63.5,21,50.5,86,47.5,126,142.5,108,265.5,277.5,321.5
"E1W8Y5",98.5,109,120.5,6,14,4,26.5,30,14,26,36,21,64,70.5,74.5,259.5,309,356.5
"E1W8Y6",113,126.5,68,12,12.5,3.5,13.5,28.5,10,8.5,16,14,30.5,31,35,131.5,153,193
"E1W8Y7",84,93.5,111.5,4.5,7,1.5,6,7,4.5,7.5,19,13.5,41.5,51,46.5,257,287.5,330.5
"E1W8Y8",23.5,19.5,18,0,3,0,7,1.5,2.5,2.5,8.5,4.5,11.5,18,17,75.5,82.5,104.5
"E1W8Z0",10.5,11,9,0,1,0,3.5,5,2,1.5,4,2,9,13,12.5,61,63,65
"E1W8Z1",18,32.5,27.5,2,0,0.5,6.5,6.5,2.5,7,10,9,15.5,22,14,90,109.5,105.5
"E1W8Z2",92.5,128,122,6,5.5,1.5,16,21.5,8.5,18,24.5,21,65.5,74.5,72.5,285.5,303.5,372.5
"E1W8Z3",30,41.5,66.5,2,3,0,2.5,8.5,6,4.5,9,7,27.5,22.5,18.5,102,116,127
"E1W8Z4",28,44,32.5,0.5,6.5,0,2.5,13.5,3,5,12,9,26,35.5,21.5,109,97.5,131.5
"E1W8Z5",49.5,59.5,54.5,3.5,4,1.5,19.5,38,4.5,6,8.5,11.5,48,34,38.5,160,202.5,255
"E1W8Z6",84.5,80.5,85.5,5.5,5,2,5,11,4,12.5,19.5,9.5,41.5,48,40,278.5,269.5,276.5
"E1W8Z7",5,11.5,14,0.5,0,0,3,2,2.5,0,2,4,10,12,13,75.5,85,114
"E1W8Z8",2.5,2,3.5,0,0.5,0,0.5,1.5,0.5,1.5,0.5,0.5,3.5,8.5,7,52.5,53,56
"E1W8Z9",53,50,40,2,3,8.5,4.5,5,8,26,26,8.5,38,43,37,157.5,166,170
"E1W900",96.5,139.5,125.5,6,13.5,6,13,15,7,5,13.5,13,43.5,45,50.5,199.5,230,323.5
"E1W901",11,9,12,0,1,0,0,1,0.5,0,2,0,0.5,1.5,5,14,22,17
"E1W902",17,15.5,22,3,6,2.5,4,11.5,7,10.5,19,7.5,24,30.5,25.5,68.5,83,93
"E1W903",22.5,36.5,22.5,2.5,4.5,4,6.5,11.5,4.5,3.5,11,8.5,12.5,14,19.5,60.5,58,71.5
"E1W904",719.5,403.5,144,39,40,9,59,69,24.5,155,1117.5,185.5,584.5,1143.5,674,1710.5,2583,2181
"E1W905",2,7,1,0,1,0,0,2,0,1,3.5,0,2,1.5,7,42.5,54.5,61
"E1W906",57,81,54.5,1,0,0.5,0,2.5,2,3,7,4.5,9.5,13.5,14,64,69,87
"E1W907",16,23.5,19.5,1,2,3.5,3.5,4,3.5,4,4,4,14,18.5,13,88.5,112.5,117.5
"E1W908",13,7.5,8,1,0.5,1,1.5,1,1.5,2,5,2.5,9.5,12,12.5,63.5,72.5,82.5
"E1W909",14,14.5,19.5,7,2,0,6.5,10,2.5,3.5,14,7,11,21.5,24,97.5,103,143
"E1W911",8,9,11,0.5,1,1,1,1.5,1,1.5,1.5,1.5,5,6.5,6,31.5,30.5,38
"E1W912",18.5,20,22,5,3.5,1,4,10.5,2,4.5,9,8,13,17.5,19.5,52,62.5,64.5
"E1W913",17.5,17.5,20,2,4.5,0,4.5,1.5,1.5,5.5,8,2.5,9.5,20,8.5,29,36,36
"E1W914",28,30.5,24.5,1,2.5,1,3,9,4.5,3,10,3.5,22,27.5,33.5,164,207,229.5
"E1W915",13.5,25,16,2,2.5,0.5,3,3.5,0.5,3.5,8,4,19.5,18,33,178.5,188.5,215
"E1W916",30,38.5,50.5,2,2.5,2.5,3,6.5,6,7,12,10,21.5,45.5,54,245.5,290.5,382.5
"E1W917",12.5,10,12.5,0.5,1.5,0,0,1.5,1.5,1.5,3,4,7,6,12.5,56,73,80.5
"E1W919",15,16.5,21.5,1.5,0,0,0.5,0,0.5,0,1.5,3.5,6,2.5,5.5,17,18.5,27
"E1W920",14,16.5,11.5,0.5,0,0,0.5,1.5,0.5,0,1.5,1.5,5,3,6.5,34,42.5,51.5
"E1W921",21.5,27.5,17,1,1,3.5,4.5,8.5,0.5,7.5,7.5,5.5,16.5,24.5,19,156,166,168
"E1W922",3.5,2.5,2,0.5,1,0,1,0.5,0.5,1,0,0.5,5,5,4,53.5,60,53
"E1W923",1.5,1,5.5,2,0.5,1.5,2.5,4,2,0,4,5,9,12.5,2.5,16,31,15.5
"E1W924",15.5,19,22,0.5,1,0.5,5.5,4,5,4,2.5,3.5,14,15.5,16.5,57.5,75.5,80
"E1W925",2.5,5.5,2,0.5,0,0,2.5,0.5,1,5,2,2.5,3.5,7,3.5,16,26.5,26
"E1W930",3,1.5,1,0.5,1,0,0.5,0,0,1.5,1,1.5,2,3.5,4,32.5,28,49
"E1W931",0.5,1.5,1.5,0,0,1,0,0,1,0,1,0,3.5,2,1,11,19,15
"E1W933",5,12.5,12.5,1,0.5,0,1.5,5,1.5,1,0,1.5,7,7.5,5.5,25.5,29,41.5
"E1W934",1.5,2.5,2.5,0,0,0.5,0.5,2,0,0.5,0.5,1,1,3,3,17.5,14.5,22
"E1W936",1,1.5,0.5,0.5,0,0.5,2,2.5,0.5,1.5,1.5,1,5,6.5,5.5,21,24.5,26
"E1W940",44,57,66.5,7.5,2.5,2,11.5,17.5,4.5,14,25.5,13.5,42,38,33,191.5,195.5,209
"E1W941",14.5,15,15.5,1,0,1,1.5,4.5,1,2.5,7.5,1,8,9,11,50.5,59,78
"E1W942",17.5,24.5,14.5,1,4.5,0,4.5,2.5,1,2,3.5,3,7,14.5,6,28.5,30.5,30
"E1W943",60.5,68,57.5,9,12.5,8,13.5,17,8.5,11.5,24,19.5,47,45.5,31.5,91,101,138
"E1W944",80.5,103.5,91,5.5,5.5,0.5,11,16.5,8,7.5,21,16.5,36.5,47.5,41.5,164,212.5,241.5
"E1W945",8,14.5,7,1.5,0,0.5,2.5,3,0.5,0.5,2.5,3.5,3.5,6,7.5,32,31,36.5
"E1W946",3.5,4.5,4,0,0,0.5,0.5,0,0,1,0,0.5,1,4,1.5,11,15,15.5
"E1W948",11.5,16.5,11.5,1,2.5,1,2,1,1,1,6,3.5,9,12.5,8.5,47.5,41,45
"E1W949",57.5,57,52.5,7.5,6,1.5,7.5,11.5,3.5,9.5,20,14.5,27.5,43.5,40.5,179,177.5,182.5
"E1W956",26.5,37.5,27.5,0.5,0.5,0,1.5,0,11.5,5,29.5,14,44.5,50.5,51,226,236,368.5
"E1W957",3.5,5.5,2.5,0,1,0,0,1,0,0,0.5,1.5,0.5,2.5,0.5,19,18,21.5
"E1W959",0.5,2.5,1,0,0.5,0,0,1.5,1,1,0.5,0,4.5,2.5,1.5,21,23.5,17.5
"E1W960",1.5,9,8,1,1,0.5,0,1,0.5,0,2.5,0.5,2,4.5,6.5,25,29.5,29.5
"E1W961",2.5,4,3.5,0.5,0,0,0,1.5,0.5,0,0,0.5,0.5,1,3,12,19,12.5
"E1W962",1.5,2.5,3.5,0,0,0.5,0.5,0.5,0,1,0,0.5,1.5,2,3,6.5,17,13.5
"E1W964",2.5,6,2,0,0,0.5,0,0.5,0.5,0.5,1.5,1.5,4,6,6.5,37.5,42,49.5
"E1W968",23.5,20.5,22.5,0.5,3,0,2,6,1.5,3,6,2,9.5,8.5,8.5,59,77.5,91
"E1W969",32,47.5,29.5,5,5,0.5,4,19,3.5,9.5,12.5,9,32,43,31,210,248.5,277.5
"E1W970",17.5,18.5,23,0.5,7,2.5,1.5,10,2,2.5,9.5,2.5,8.5,13.5,14,74,63.5,89
"E1W971",10,7,6.5,18,17.5,8.5,18.5,40.5,17,36,66.5,12,51.5,53.5,46,92,117.5,132.5
"E1W972",5.5,7,6,5,8,0.5,9,7,2.5,12.5,16,5,19.5,18.5,20,83.5,93.5,96
"E1W978",1,0.5,1.5,0.5,0,1.5,1.5,0,0.5,0.5,0,0,1,2,3,3,5.5,6
"E1W979",7.5,6,8.5,1.5,1,0,2,6,1,2,10,5,10,15.5,10,26.5,24,29
"E1W980",3,5.5,3.5,1.5,0,0,0,1,0.5,0.5,4,2.5,4,2.5,5,20.5,20,24
"E1W981",16,18.5,8.5,1.5,1.5,0,1.5,8.5,0,13,9.5,6,17.5,17.5,12,102,85,87.5
"E1W982",3.5,2.5,4.5,0,1,0,1.5,0,0.5,1,2.5,0.5,9,5.5,9.5,57.5,79,109.5
"E1W984",1,5.5,6.5,2,1,0,6,3.5,3,3,5,3,12,11,12,57,66,93
"E1W985",5.5,8.5,8.5,2.5,1,0,1.5,4.5,3,0.5,2,3,9,9.5,10.5,51.5,59,65.5
"E1W986",56.5,67.5,60.5,17.5,13.5,1,10,41,14.5,7.5,11,14,55,73.5,60.5,254,280.5,374.5
"E1W987",59,76.5,98,5,4.5,7,7,17.5,11,3.5,7,13,45,54,63,349,381,510.5
"E1W988",16.5,26.5,10,2.5,1,1,2.5,3,1,6.5,22.5,1,25.5,27.5,6.5,109.5,142.5,72
"E1W989",154,109.5,40,13,17.5,7.5,28.5,47.5,19.5,119,107.5,21.5,195.5,286.5,105,740,932.5,572
"E1W990",25,37,18.5,0,1,0,4,4.5,0.5,3,7.5,3,24.5,31,20.5,96,120.5,130.5
"E1W991",25.5,27.5,25,0,0.5,0,1,1.5,2.5,0.5,4.5,4,9.5,11.5,13.5,73.5,68,93
"E1W992",28.5,50,35,1.5,1.5,1,2,2,2,0,2.5,2.5,8.5,7.5,18,56,60,94.5
"E1W993",72.5,85,70,3.5,3,3,2.5,7.5,3.5,0,5,8.5,20,13,32.5,109,110.5,142
"E1W994",51.5,57.5,61,1.5,2,2.5,4,10,13,25,48,17,50.5,64.5,42,284,299.5,276.5
"E1W995",24,47,29.5,0.5,2,0,5.5,6.5,3.5,1.5,5,3.5,24,30,38,201,199,274.5
"E1W996",20.5,33.5,42.5,3.5,3,2.5,5,11,6.5,1.5,17.5,7,26.5,19.5,39.5,184,168,219.5
"E1W997",20,21,14.5,3,5.5,1.5,10.5,15.5,2.5,3.5,5,4.5,25.5,28,20,100,94,146
"E1W998",0.5,3,6.5,2.5,2.5,0,6,13,3.5,2,5.5,5.5,13,20.5,13,38.5,43,50
"E1W999",0.5,0.5,2,1,1,0,3.5,2.5,2,1.5,2.5,0.5,4.5,15,8,27.5,29,31
"E1W9A0",3,1.5,1,1.5,1,0.5,3.5,2,1,4,3.5,2,8,8,9,28,31,26
"E1W9A1",56.5,54.5,42.5,44,55,30,67.5,90,37.5,100,152.5,108,217,285.5,173.5,351.5,376.5,417
"E1W9A2",6.5,7.5,2,2.5,3.5,1.5,10,6,6.5,7.5,19,12.5,22.5,30,25,57,72,92.5
"E1W9A3",12,13,19,2,1.5,1,4.5,5,2.5,9,11.5,7,32.5,45,47.5,206,227,257.5
"E1W9A4",6.5,11,7.5,0,2,0,2,3,1,1.5,6,2.5,5,12.5,13,59,73.5,111.5
"E1W9A5",3,13.5,5.5,0.5,1,1.5,1,8.5,2,3.5,1,4,8,15.5,9.5,42.5,36.5,51
"E1W9A6",8.5,6,6.5,2,0.5,0.5,6.5,3,2,2,3.5,3,5,11.5,11,37.5,59.5,58.5
"E1W9A7",6,10.5,5.5,0.5,0.5,1.5,1,4,0.5,2.5,2.5,3,7,7.5,5,28.5,22.5,28.5
"E1W9A8",15,27,24,4,2,3.5,5.5,6.5,0.5,3.5,9.5,3,7,16,12.5,45.5,48.5,56.5
